grid_id,lon,lat
G4577,90.20183714646151,23.58388107299881
G4695,90.20646207026753,23.58854456949677
G4578,90.20174142437348,23.588392048565947
G4812,90.20988512848618,23.590238847496767
G4579,90.2016456784786,23.592903021147908
G4696,90.2065404119416,23.592991194485645
G4813,90.21133424337314,23.5932294810827
G4580,90.20154990877323,23.597413990744215
G4814,90.211339733439,23.597590221171068
G4697,90.2064448092198,23.59750218294118
G4815,90.21124427397322,23.602101225469287
G4581,90.20145411525378,23.60192495735439
G4698,90.20634918272539,23.60201316841183
G4816,90.2111487907727,23.606612226783376
G4699,90.20625353245475,23.606524150897105
G4582,90.20135829791663,23.606435920977937
G4817,90.21105328383382,23.611123225112877
G4583,90.20126245675819,23.610946881614392
G4700,90.20615785840428,23.61103513039653
G4229,90.18686535048386,23.597148490380956
G4347,90.1916640518051,23.601748073251606
G4464,90.19655907159986,23.601836592299982
G4230,90.186769055911,23.601659400212302
G4348,90.19156790034579,23.606258999052994
G4231,90.18667273739601,23.60617030705325
G4465,90.19646308719983,23.606347537028896
G4232,90.1865763949353,23.610681210903355
G4349,90.19147172498221,23.61076992186478
G4466,90.196367078937,23.61085847876947
G3882,90.1717936808526,23.614924997481342
G4116,90.1815845552927,23.61510322775108
G3999,90.17668910605467,23.615014189656485
G3883,90.17169678897105,23.619435838258177
G4117,90.18148799775317,23.619614106620865
G4000,90.1765923813423,23.61952504949625
G3884,90.17159987300838,23.623946676038894
G4001,90.17649563259029,23.624035906341163
G4118,90.18139141621548,23.62412498249706
G4002,90.17639885979503,23.628546760190748
G4818,90.21095775315301,23.615634220457284
G4701,90.20606216057041,23.615546106909616
G4584,90.20116659177482,23.615457839263254
G4819,90.21086219872666,23.620145212816123
G4585,90.20107070296294,23.61996879392404
G4702,90.20596643894947,23.620057080435892
G4586,90.2009747903189,23.624479745596282
G4703,90.2058706935379,23.624568050974858
G4820,90.21076662055115,23.624656202188913
G4587,90.20087885383911,23.628990694279484
G4467,90.19627104680778,23.6153694175212
G4350,90.19137552571074,23.61528084168646
G4233,90.18648002852522,23.61519211176208
G4351,90.19127930252778,23.619791758517568
G4234,90.18638363816216,23.61970300962898
G4468,90.19617499080853,23.619880353283598
G4352,90.19118305542966,23.624302672357608
G4235,90.18628722384244,23.624213904503556
G4469,90.19607891093564,23.624391286056195
G4353,90.19108678441279,23.6288135832061
G4236,90.18619078556246,23.628724796385324
G4470,90.1959828071855,23.6289022158385
G4354,90.19099048947352,23.633324491062563
G4237,90.1860943233186,23.633235685273803
G4471,90.19588667955448,23.633413142630026
G4238,90.18599783710718,23.637746571168506
G4355,90.19089417060823,23.637835395926512
G4472,90.19579052803894,23.637924066430305
G4356,90.1907978278133,23.642346297797467
G4473,90.19569435263529,23.64243498723884
G4704,90.20577492433209,23.629079018526046
G4821,90.21067101862292,23.629167188575163
G4705,90.2056791313284,23.633589983088964
G4588,90.20078289351994,23.633501639973172
G4822,90.21057539293831,23.633678171974406
G4706,90.20558331452324,23.638100944663133
G4823,90.21047974349378,23.638189152386147
G4589,90.20068690935778,23.638012582676847
G4707,90.205487473913,23.64261190324808
G4590,90.20059090134902,23.64252352239005
G4119,90.18129481067605,23.628635855379198
G3885,90.17150293296093,23.628457510823026
G3886,90.17140596882507,23.632968342610067
G4003,90.17630206295286,23.63305761104452
G4120,90.1811981811312,23.633146725266773
G3887,90.17130898059715,23.637479171399548
G4004,90.17620524206012,23.637568458901985
G4121,90.1811015275773,23.637657592159318
G4122,90.18100485001071,23.64216845605635
G4005,90.17610839711317,23.642079303762678
G3888,90.17121196827348,23.641989997190976
G4006,90.17601152810835,23.646590145626085
G3889,90.17111493185044,23.646500819983867
G4123,90.18090814842779,23.64667931695736
G4007,90.17591463504203,23.651100984491748
G3890,90.17101787132435,23.65101163977774
G4124,90.18081142282487,23.6511901748619
G4008,90.17581771791053,23.65561182035917
G3891,90.17092078669157,23.6555224565721
G4125,90.18071467319832,23.65570102976945
G5523,90.23847423330396,23.631145806495457
G5406,90.23504434847926,23.629668740541746
G5524,90.23973346332329,23.634436635582354
G5290,90.23016067656238,23.63402938515245
G5407,90.23505705655685,23.63411680284105
G5408,90.23496224396933,23.638627876946817
G5291,90.23006569659626,23.638540440585256
G5525,90.23985881489833,23.638715159027115
G5409,90.23486740782587,23.64313894807083
G5292,90.22997069303271,23.643051493035074
G5172,90.22535944386746,23.629430773507806
G5055,90.22046327843213,23.629343066069048
G5173,90.22526432016174,23.633941813218495
G4939,90.2154716783082,23.633766206626472
G5056,90.22036798739651,23.633854087042167
G5057,90.220272672684,23.638365105030285
G4940,90.21537619622787,23.638277205842865
G5174,90.22516917282064,23.638452849945416
G4941,90.21528069042552,23.642788202072527
G5175,90.22507400184055,23.642963883688108
G5758,90.24750024001713,23.635461459471312
G5641,90.2448524622191,23.634580529620916
G5759,90.24747617509581,23.63845894539394
G5642,90.24475540934168,23.638802286823164
G5643,90.24466090804918,23.64331339519681
G5760,90.24761372208657,23.643861965275548
G5644,90.24452725953626,23.64780256048792
G5761,90.2475360139474,23.64648965845118
G5645,90.24447183503135,23.65233560300431
G5762,90.24799904637614,23.653051940980845
G5879,90.25403420524486,23.65435462096028
G5763,90.2492718561882,23.656939243591033
G5880,90.25417186252199,23.657020643651144
G5646,90.2443772632989,23.65684670243722
G5526,90.23976414617856,23.64322624879241
G5410,90.23477254812293,23.64765001621261
G5293,90.22987566586812,23.647562542501404
G5527,90.23966945394083,23.64773733557669
G5528,90.23957473818159,23.652248419379504
